time,source,uuid,length,changed_indexes,marker,hex,ascii_or_note
"2026-08-12 17:40:57.403","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:57.706","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:57.935","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:58.292","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:58.539","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:58.867","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:59.156","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:59.447","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:40:59.693","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:00.023","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","4","","24 22 01 25 E8 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.40;flags18=0x40"
"2026-08-12 17:41:00.312","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","4","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:00.559","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:00.875","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:01.164","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:01.452","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:01.781","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:02.070","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:02.333","FFF1_TX","0000fff1-0000-1000-8000-00805f9b34fb","3","","QUERY_CRUISE","F0 4D 13","mode_command_sent"
"2026-08-12 17:41:02.338","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:02.606","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:02.895","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:03.186","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:03.500","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:03.830","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","4","","24 22 01 25 E8 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.40;flags18=0x40"
"2026-08-12 17:41:04.077","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","4","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:04.406","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","4","","24 22 01 25 E8 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.40;flags18=0x40"
"2026-08-12 17:41:04.702","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","4","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:04.942","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:05.272","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:05.541","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:05.809","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:06.124","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:06.413","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:06.702","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
"2026-08-12 17:41:07.031","FFF2_NOTIFY","0000fff2-0000-1000-8000-00805f9b34fb","20","","","24 22 01 25 F2 12 00 00 00 00 00 00 00 00 E5 08 19 00 40 00","speed=0;raw16=0;batteryV=48.50;flags18=0x40"
